type,seconds,round,chunk_distance,name,t,c,z,y,x
Zarr,0.054053830000000004,0,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,4
Zarr,0.02983219,1,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,2
Zarr,0.02334342,2,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
Zarr,0.023371470000000002,3,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,2
Zarr,0.03798827,4,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,5
Zarr,0.01703537,5,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,2
Zarr,0.01535945,6,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,6
Zarr,0.01412202,7,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,5
Zarr,0.0187092,8,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,6
Zarr,0.019317670000000002,9,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,6
Zarr,0.01896293,10,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,5
Zarr,0.01468244,11,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,1
Zarr,0.014413760000000001,12,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,5
Zarr,0.01614069,13,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,3
Zarr,0.01757752,14,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,5
Zarr,0.03080497,15,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,4
Zarr,0.019228870000000002,16,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,3
Zarr,0.020546870000000002,17,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,5
Zarr,0.01888988,18,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,7
Zarr,0.020338310000000002,19,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,6
Zarr,0.01967089,20,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,4
Zarr,0.02070995,21,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,2
Zarr,0.014553110000000001,22,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,7
Zarr,0.01673456,23,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,4
Zarr,0.01849472,24,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,3
Zarr,0.01297267,25,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
Zarr,0.01452368,26,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,6
Zarr,0.03141101,27,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,1
Zarr,0.01972865,28,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,3
Zarr,0.020858810000000002,29,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,2
Zarr,0.0174593,30,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,6
Zarr,0.018593000000000002,31,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,5
Zarr,0.01884899,32,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,7
Zarr,0.0160042,33,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,4
Zarr,0.01782633,34,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,6
Zarr,0.02068155,35,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,4
Zarr,0.01720797,36,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
Zarr,0.01969719,37,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,4,7
Zarr,0.01640468,38,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,7
Zarr,0.01155543,39,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,2
Zarr,0.01904154,40,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,1
Zarr,0.01743716,41,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,3
Zarr,0.01329204,42,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,2
Zarr,0.01749283,43,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
Zarr,0.02193234,44,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,6
Zarr,0.018803570000000002,45,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,2
Zarr,0.016452480000000002,46,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,5
Zarr,0.01845574,47,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,1
Zarr,0.02051463,48,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,6
Zarr,0.01462403,49,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,2
Zarr,0.01239535,50,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
Zarr,0.01824146,51,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,5
Zarr,0.01415194,52,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,6
Zarr,0.01915991,53,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,6
Zarr,0.01880944,54,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
Zarr,0.01506709,55,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,3
Zarr,0.01268303,56,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,6
Zarr,0.02401071,57,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,6
Zarr,0.0255757,58,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,6
Zarr,0.014977540000000001,59,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,2
Zarr,0.022671320000000002,60,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,1
Zarr,0.01881422,61,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,6
Zarr,0.01175816,62,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,6
Zarr,0.01766846,63,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,2
Zarr,0.02380895,64,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,7
Zarr,0.01736575,65,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,5
Zarr,0.01150335,66,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,7
Zarr,0.017381340000000002,67,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,1
Zarr,0.01908584,68,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,7
Zarr,0.01139212,69,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,3
Zarr,0.01184725,70,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,3
Zarr,0.01735903,71,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,5
Zarr,0.01498491,72,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,3
Zarr,0.017800530000000002,73,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
Zarr,0.02402948,74,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,2
Zarr,0.011930060000000001,75,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
Zarr,0.01322645,76,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
Zarr,0.01329029,77,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,6
Zarr,0.01929329,78,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,6
Zarr,0.01308896,79,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,4
Zarr,0.0132424,80,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,7
Zarr,0.013420950000000001,81,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,3
Zarr,0.01999951,82,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,3
Zarr,0.01147854,83,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,6
Zarr,0.01913761,84,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,5
Zarr,0.01828602,85,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,4
Zarr,0.01758048,86,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,6
Zarr,0.01266368,87,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,6
Zarr,0.01176427,88,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,4
Zarr,0.013368930000000001,89,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
Zarr,0.01143075,90,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,5
Zarr,0.01163517,91,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
Zarr,0.02081632,92,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,4
Zarr,0.01148097,93,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,1
Zarr,0.02215871,94,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,3
Zarr,0.01139881,95,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,3
Zarr,0.01806918,96,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,2
Zarr,0.01890499,97,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,6
Zarr,0.017464300000000002,98,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,2
Zarr,0.0120173,99,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
TIFF,0.10302183000000001,0,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,4
TIFF,0.10658741000000001,1,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,2
TIFF,0.10290167,2,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
TIFF,0.07422531,3,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,2
TIFF,0.06395714,4,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,5
TIFF,0.06795502,5,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,4,2
TIFF,0.10062424,6,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,6
TIFF,0.06823404,7,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,5
TIFF,0.08291369,8,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,6
TIFF,0.10955919,9,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,6
TIFF,0.11219603,10,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,5
TIFF,0.06909823,11,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,1
TIFF,0.10260714,12,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,5
TIFF,0.058334830000000004,13,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,3
TIFF,0.09732603000000001,14,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,5
TIFF,0.06144165,15,0,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,4
TIFF,0.07791862000000001,16,1,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,3
TIFF,0.11779593000000001,17,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,1,5
TIFF,0.11714038,18,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,7
TIFF,0.11239078,19,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,6
TIFF,0.09766529,20,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,4
TIFF,0.1006982,21,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,2
TIFF,0.128709,22,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,7
TIFF,0.10834242000000001,23,3,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,4
