type,seconds,round,name,t,c,z,y,x
Zarr,0.10534528,0,XY-1920-Z-259-C-4-T-1-XC-256,1,4,54,6,4
Zarr,0.07288510000000001,1,XY-1920-Z-259-C-4-T-1-XC-256,1,2,140,6,7
Zarr,0.07626481,2,XY-1920-Z-259-C-4-T-1-XC-256,1,2,94,5,1
Zarr,0.08521664,3,XY-1920-Z-259-C-4-T-1-XC-256,1,3,156,4,5
Zarr,0.0701175,4,XY-1920-Z-259-C-4-T-1-XC-256,1,4,140,7,1
Zarr,0.08750863,5,XY-1920-Z-259-C-4-T-1-XC-256,1,1,163,7,7
Zarr,0.08256221,6,XY-1920-Z-259-C-4-T-1-XC-256,1,3,68,1,2
Zarr,0.08068945,7,XY-1920-Z-259-C-4-T-1-XC-256,1,1,168,5,5
Zarr,0.0761106,8,XY-1920-Z-259-C-4-T-1-XC-256,1,3,104,1,1
Zarr,0.09372368,9,XY-1920-Z-259-C-4-T-1-XC-256,1,3,42,7,3
Zarr,0.08988142,10,XY-1920-Z-259-C-4-T-1-XC-256,1,3,96,1,7
Zarr,0.07464936,11,XY-1920-Z-259-C-4-T-1-XC-256,1,3,150,6,7
Zarr,0.07254921,12,XY-1920-Z-259-C-4-T-1-XC-256,1,4,200,4,4
Zarr,0.08371615,13,XY-1920-Z-259-C-4-T-1-XC-256,1,1,27,4,3
Zarr,0.09689845,14,XY-1920-Z-259-C-4-T-1-XC-256,1,4,94,5,2
Zarr,0.06098082,15,XY-1920-Z-259-C-4-T-1-XC-256,1,4,179,5,7
Zarr,0.07565261,16,XY-1920-Z-259-C-4-T-1-XC-256,1,2,146,6,5
Zarr,0.09580748,17,XY-1920-Z-259-C-4-T-1-XC-256,1,1,199,5,3
Zarr,0.084316,18,XY-1920-Z-259-C-4-T-1-XC-256,1,2,89,5,7
Zarr,0.06122128,19,XY-1920-Z-259-C-4-T-1-XC-256,1,4,171,1,1
Zarr,0.06872228,20,XY-1920-Z-259-C-4-T-1-XC-256,1,2,224,1,3
Zarr,0.08459112,21,XY-1920-Z-259-C-4-T-1-XC-256,1,1,42,7,5
Zarr,0.07473157,22,XY-1920-Z-259-C-4-T-1-XC-256,1,3,220,7,3
Zarr,0.08562688,23,XY-1920-Z-259-C-4-T-1-XC-256,1,2,169,3,5
Zarr,0.07792746,24,XY-1920-Z-259-C-4-T-1-XC-256,1,3,183,4,6
Zarr,0.07521728,25,XY-1920-Z-259-C-4-T-1-XC-256,1,2,85,7,6
Zarr,0.07129614000000001,26,XY-1920-Z-259-C-4-T-1-XC-256,1,2,223,5,7
Zarr,0.07944288000000001,27,XY-1920-Z-259-C-4-T-1-XC-256,1,3,177,6,4
Zarr,0.07744871,28,XY-1920-Z-259-C-4-T-1-XC-256,1,4,206,5,5
Zarr,0.1031228,29,XY-1920-Z-259-C-4-T-1-XC-256,1,4,128,4,1
Zarr,0.07004056,30,XY-1920-Z-259-C-4-T-1-XC-256,1,1,45,1,3
Zarr,0.07415374,31,XY-1920-Z-259-C-4-T-1-XC-256,1,2,194,1,2
Zarr,0.07036271,32,XY-1920-Z-259-C-4-T-1-XC-256,1,1,27,6,3
Zarr,0.059994070000000004,33,XY-1920-Z-259-C-4-T-1-XC-256,1,3,173,5,1
Zarr,0.07483798,34,XY-1920-Z-259-C-4-T-1-XC-256,1,2,51,5,5
Zarr,0.0756546,35,XY-1920-Z-259-C-4-T-1-XC-256,1,2,202,1,3
Zarr,0.07466631,36,XY-1920-Z-259-C-4-T-1-XC-256,1,2,136,3,7
Zarr,0.08686423,37,XY-1920-Z-259-C-4-T-1-XC-256,1,3,54,5,4
Zarr,0.08619568,38,XY-1920-Z-259-C-4-T-1-XC-256,1,1,160,4,7
Zarr,0.07912211,39,XY-1920-Z-259-C-4-T-1-XC-256,1,1,7,5,7
Zarr,0.08664602,40,XY-1920-Z-259-C-4-T-1-XC-256,1,2,1,2,3
Zarr,0.07628915,41,XY-1920-Z-259-C-4-T-1-XC-256,1,3,127,1,2
Zarr,0.07365055,42,XY-1920-Z-259-C-4-T-1-XC-256,1,1,193,2,1
Zarr,0.07570637,43,XY-1920-Z-259-C-4-T-1-XC-256,1,3,72,1,7
Zarr,0.06901378,44,XY-1920-Z-259-C-4-T-1-XC-256,1,3,246,1,1
Zarr,0.08452334,45,XY-1920-Z-259-C-4-T-1-XC-256,1,4,47,7,4
Zarr,0.08017601,46,XY-1920-Z-259-C-4-T-1-XC-256,1,2,218,3,7
Zarr,0.07616646,47,XY-1920-Z-259-C-4-T-1-XC-256,1,1,243,5,6
Zarr,0.08483057000000001,48,XY-1920-Z-259-C-4-T-1-XC-256,1,3,20,4,5
Zarr,0.07887015,49,XY-1920-Z-259-C-4-T-1-XC-256,1,4,119,7,7
Zarr,0.07581132,50,XY-1920-Z-259-C-4-T-1-XC-256,1,2,14,1,6
Zarr,0.0963614,51,XY-1920-Z-259-C-4-T-1-XC-256,1,3,132,4,7
Zarr,0.07403276,52,XY-1920-Z-259-C-4-T-1-XC-256,1,3,235,6,5
Zarr,0.07713415,53,XY-1920-Z-259-C-4-T-1-XC-256,1,3,138,7,4
Zarr,0.06929829,54,XY-1920-Z-259-C-4-T-1-XC-256,1,2,78,1,4
Zarr,0.06927128,55,XY-1920-Z-259-C-4-T-1-XC-256,1,3,114,7,7
Zarr,0.08269018,56,XY-1920-Z-259-C-4-T-1-XC-256,1,4,221,3,3
Zarr,0.08914267000000001,57,XY-1920-Z-259-C-4-T-1-XC-256,1,2,172,1,3
Zarr,0.07621921,58,XY-1920-Z-259-C-4-T-1-XC-256,1,4,232,6,5
Zarr,0.07086298,59,XY-1920-Z-259-C-4-T-1-XC-256,1,4,189,3,1
Zarr,0.07011448,60,XY-1920-Z-259-C-4-T-1-XC-256,1,2,235,6,5
Zarr,0.07564224,61,XY-1920-Z-259-C-4-T-1-XC-256,1,3,224,4,4
Zarr,0.07972028,62,XY-1920-Z-259-C-4-T-1-XC-256,1,3,198,7,5
Zarr,0.06638356000000001,63,XY-1920-Z-259-C-4-T-1-XC-256,1,1,189,5,5
Zarr,0.07718837,64,XY-1920-Z-259-C-4-T-1-XC-256,1,2,211,3,3
Zarr,0.08828072000000001,65,XY-1920-Z-259-C-4-T-1-XC-256,1,2,115,6,6
Zarr,0.07927709000000001,66,XY-1920-Z-259-C-4-T-1-XC-256,1,3,86,1,2
Zarr,0.08661809000000001,67,XY-1920-Z-259-C-4-T-1-XC-256,1,2,226,1,4
Zarr,0.07409517,68,XY-1920-Z-259-C-4-T-1-XC-256,1,4,156,7,6
Zarr,0.07901865,69,XY-1920-Z-259-C-4-T-1-XC-256,1,4,120,4,6
Zarr,0.07342334,70,XY-1920-Z-259-C-4-T-1-XC-256,1,2,22,7,1
Zarr,0.07621317,71,XY-1920-Z-259-C-4-T-1-XC-256,1,3,82,3,6
Zarr,0.08736958,72,XY-1920-Z-259-C-4-T-1-XC-256,1,1,40,1,6
Zarr,0.08143503,73,XY-1920-Z-259-C-4-T-1-XC-256,1,2,62,3,3
Zarr,0.07451494,74,XY-1920-Z-259-C-4-T-1-XC-256,1,3,133,5,2
Zarr,0.08331430000000001,75,XY-1920-Z-259-C-4-T-1-XC-256,1,1,217,7,2
Zarr,0.07946467,76,XY-1920-Z-259-C-4-T-1-XC-256,1,2,23,5,3
Zarr,0.07982914,77,XY-1920-Z-259-C-4-T-1-XC-256,1,3,60,3,4
Zarr,0.07479409000000001,78,XY-1920-Z-259-C-4-T-1-XC-256,1,2,143,4,7
Zarr,0.07407033,79,XY-1920-Z-259-C-4-T-1-XC-256,1,2,168,6,5
Zarr,0.0791182,80,XY-1920-Z-259-C-4-T-1-XC-256,1,3,75,7,1
Zarr,0.0680601,81,XY-1920-Z-259-C-4-T-1-XC-256,1,2,210,4,3
Zarr,0.07798871,82,XY-1920-Z-259-C-4-T-1-XC-256,1,2,112,7,5
Zarr,0.08429565,83,XY-1920-Z-259-C-4-T-1-XC-256,1,2,241,6,6
Zarr,0.07968405,84,XY-1920-Z-259-C-4-T-1-XC-256,1,3,11,1,5
Zarr,0.07319905,85,XY-1920-Z-259-C-4-T-1-XC-256,1,4,116,7,1
Zarr,0.07773603,86,XY-1920-Z-259-C-4-T-1-XC-256,1,1,158,7,2
Zarr,0.07654557000000001,87,XY-1920-Z-259-C-4-T-1-XC-256,1,3,110,3,4
Zarr,0.08381225,88,XY-1920-Z-259-C-4-T-1-XC-256,1,1,9,7,3
Zarr,0.08732515,89,XY-1920-Z-259-C-4-T-1-XC-256,1,3,170,6,2
Zarr,0.06595816,90,XY-1920-Z-259-C-4-T-1-XC-256,1,1,9,7,6
Zarr,0.08640035,91,XY-1920-Z-259-C-4-T-1-XC-256,1,4,212,2,2
Zarr,0.07958187,92,XY-1920-Z-259-C-4-T-1-XC-256,1,4,21,5,2
Zarr,0.08074478,93,XY-1920-Z-259-C-4-T-1-XC-256,1,3,26,7,2
Zarr,0.07450121,94,XY-1920-Z-259-C-4-T-1-XC-256,1,3,4,1,4
Zarr,0.07872138000000001,95,XY-1920-Z-259-C-4-T-1-XC-256,1,2,155,2,6
Zarr,0.08034353,96,XY-1920-Z-259-C-4-T-1-XC-256,1,4,12,4,7
Zarr,0.06920771,97,XY-1920-Z-259-C-4-T-1-XC-256,1,1,63,1,1
Zarr,0.08358298,98,XY-1920-Z-259-C-4-T-1-XC-256,1,2,247,5,7
Zarr,0.07888191,99,XY-1920-Z-259-C-4-T-1-XC-256,1,3,203,7,4
TIFF,2.04560708,0,XY-1920-Z-259-C-4-T-1-XC-256,1,4,54,6,4
TIFF,5.84505039,1,XY-1920-Z-259-C-4-T-1-XC-256,1,2,140,6,7
TIFF,5.07484944,2,XY-1920-Z-259-C-4-T-1-XC-256,1,2,94,5,1
TIFF,9.43185548,3,XY-1920-Z-259-C-4-T-1-XC-256,1,3,156,4,5
TIFF,2.73374892,4,XY-1920-Z-259-C-4-T-1-XC-256,1,4,140,7,1
TIFF,2.36036077,5,XY-1920-Z-259-C-4-T-1-XC-256,1,1,163,7,7
TIFF,8.302665600000001,6,XY-1920-Z-259-C-4-T-1-XC-256,1,3,68,1,2
TIFF,2.55017506,7,XY-1920-Z-259-C-4-T-1-XC-256,1,1,168,5,5
TIFF,8.67818941,8,XY-1920-Z-259-C-4-T-1-XC-256,1,3,104,1,1
TIFF,8.07584203,9,XY-1920-Z-259-C-4-T-1-XC-256,1,3,42,7,3
TIFF,8.72706117,10,XY-1920-Z-259-C-4-T-1-XC-256,1,3,96,1,7
TIFF,9.56307204,11,XY-1920-Z-259-C-4-T-1-XC-256,1,3,150,6,7
TIFF,3.86006654,12,XY-1920-Z-259-C-4-T-1-XC-256,1,4,200,4,4
TIFF,0.49858954,13,XY-1920-Z-259-C-4-T-1-XC-256,1,1,27,4,3
TIFF,2.28387964,14,XY-1920-Z-259-C-4-T-1-XC-256,1,4,94,5,2
TIFF,3.32234721,15,XY-1920-Z-259-C-4-T-1-XC-256,1,4,179,5,7
TIFF,5.6179193000000005,16,XY-1920-Z-259-C-4-T-1-XC-256,1,2,146,6,5
TIFF,2.84798981,17,XY-1920-Z-259-C-4-T-1-XC-256,1,1,199,5,3
TIFF,4.9215601200000005,18,XY-1920-Z-259-C-4-T-1-XC-256,1,2,89,5,7
TIFF,3.1090126000000002,19,XY-1920-Z-259-C-4-T-1-XC-256,1,4,171,1,1
TIFF,6.8263007,20,XY-1920-Z-259-C-4-T-1-XC-256,1,2,224,1,3
TIFF,0.71781586,21,XY-1920-Z-259-C-4-T-1-XC-256,1,1,42,7,5
TIFF,9.60192393,22,XY-1920-Z-259-C-4-T-1-XC-256,1,3,220,7,3
TIFF,5.81802468,23,XY-1920-Z-259-C-4-T-1-XC-256,1,2,169,3,5
TIFF,9.455252400000001,24,XY-1920-Z-259-C-4-T-1-XC-256,1,3,183,4,6
TIFF,4.91228213,25,XY-1920-Z-259-C-4-T-1-XC-256,1,2,85,7,6
