type,seconds,round,name,t,c,z,y,x
Zarr,0.04066325,0,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,2
Zarr,0.01878958,1,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,6
Zarr,0.01696704,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,6
Zarr,0.01496457,3,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,6
Zarr,0.0170223,4,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,6
Zarr,0.01914385,5,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,5
Zarr,0.0176461,6,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
Zarr,0.01737132,7,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,2
Zarr,0.01732081,8,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
Zarr,0.03405459,9,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,1
Zarr,0.01400121,10,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
Zarr,0.019186540000000002,11,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,4
Zarr,0.01501061,12,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,6
Zarr,0.01771477,13,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
Zarr,0.0235644,14,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,7
Zarr,0.01307559,15,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,6
Zarr,0.02283951,16,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,5
Zarr,0.01558582,17,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,1
Zarr,0.014106780000000001,18,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,2,5
Zarr,0.01646239,19,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,7
Zarr,0.01599316,20,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,4
Zarr,0.02006707,21,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,1
Zarr,0.01214894,22,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,7
Zarr,0.01322955,23,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,7,4
Zarr,0.01396459,24,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,3
Zarr,0.01372747,25,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,7
